STATION CODE,LOCATIONS,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max
1001,BEAS AT U/S MANALI,HIMACHAL PRADESH,2,13,8.7,11.2,7.3,8.4,90,179,0.1,0.2,0.2,0.31,12,33,120,240,-,-,,,,,,
4444,RIVER BEAS D/S OF WPF AT MANALI,HIMACHAL PRADESH,8,14,8.5,10.8,7.3,8.1,62,92,0.1,0.8,0.2,0.2,31,94,280,540,-,-,,,,,,
4037,RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,2,13,8.9,10.9,7,8.3,68,135,0.1,1,0.1,0.1,20,32,120,280,-,-,,,,,,
2601,BEAS AT D/S MANALI,HIMACHAL PRADESH,3,14,8.2,11.1,6.9,8.2,78,218,0.1,0.6,0.1,0.4,25,170,280,920,-,-,,,,,,
2602,BEAS AT U/S KULLU,HIMACHAL PRADESH,5,15,7.6,11.5,7,8.6,63,149,0.1,0.4,0.1,0.2,25,70,220,540,-,-,,,,,,
4445,RIVER BEAS D/S OF WPF AT KULLU,HIMACHAL PRADESH,9,13,7.8,11.1,7.5,8,73,122,0.3,1.4,0.2,0.4,40,94,350,540,-,-,,,,,,
1002,BEAS AT D/S KULU,HIMACHAL PRADESH,6,13,7.8,11.3,7.4,8.4,66,341,0.2,0.8,0.03,0.36,39,110,220,920,-,-,,,,,,
1003,BEAS AT D/S AUT,HIMACHAL PRADESH,6,15,8.7,11,7.3,8.1,50,141,0.1,0.4,0.1,0.13,26,94,150,430,-,-,,,,,,
1004,BEAS AT U/S PANDOH DAM,HIMACHAL PRADESH,10,19,8.6,11,7.5,8.4,62,136,0.1,0.4,0.1,0.1,13,40,170,280,-,-,,,,,,
2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,9,24,7.2,11.3,7.2,8.1,74,149,0.1,0.4,0.1,0.2,22,110,240,350,-,-,,,,,,
1005,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,14,24,7.9,9.9,7.8,8.6,83,241,0.1,0.4,0.1,0.14,26,49,130,350,-,-,,,,,,
1550,BEAS U/S MANDI,HIMACHAL PRADESH,7,22,7.1,10.2,7.7,8.4,73,159,0.1,0.2,0.1,0.2,17,27,120,280,-,-,,,,,,
1006,BEAS AT D/S MANDI,HIMACHAL PRADESH,8,24,8.1,11.2,7.6,8.5,75,251,0.2,0.6,0.02,0.92,31,350,340,1600,-,-,,,,,,
2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,8.5,16,9,10.5,7.4,8.6,129,340,0.1,0.5,0.5,1.3,2,6,39,170,-,-,,,,,,
1007,BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,8.5,14,9,10.3,7.5,8.1,122.8,290,0.1,0.5,0.47,1.41,2,6,47,150,-,-,,,,,,
3855,"BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,8.5,20,9,11.5,7.3,8.1,176,323,0.1,0.4,0.2,1.2,2,6.1,40,170,-,-,,,,,,
1009,BEAS AT D/S PONG DAM,HIMACHAL PRADESH,11.5,16,8.3,9.4,7.18,7.9,105,196,0.1,0.4,0.22,1.14,2,6,58,180,-,-,,,,,,
1008,BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,7.3,18,7.9,9.5,7.25,8,114,326,0.1,0.5,0.39,0.98,2,40,48,170,-,-,,,,,,
4435,RIVER BEAS U/S SUJANPUR TIHRA,HIMACHAL PRADESH,9.1,24,7.8,8.6,7.7,8.1,140,283,0.1,0.3,0.2,0.4,2,2,2,79,-,-,,,,,,
4436,RIVER BEAS  D/S SUJANPUR TIHRA,HIMACHAL PRADESH,9,25,7.9,8.5,8,8.2,132,301,0.1,0.2,0.2,0.9,2,4,2,94,-,-,,,,,,
4437,RIVER BEAS U/S NADAUM TOWN,HIMACHAL PRADESH,9.2,23,7.8,8.3,7.7,8.1,149,285,0.1,0.3,0.3,0.6,2,6,70,120,-,-,,,,,,
4438,"RIVER BEAS D/S NADAUN TOWN AFTER CONFLUENCE OF
MAAN KHAD",HIMACHAL PRADESH,9.1,26,7.7,9.6,7.2,8,206,290,0.1,0.3,0.3,0.9,2,7,79,130,-,-,,,,,,
4443,RIVER BEAS AT  RAISON,HIMACHAL PRADESH,8,15,8.3,11,7.3,8.2,69,106,0.1,0.3,0.1,0.5,26,79,220,350,-,-,,,,,,
30083,BEAS AT TALWARA  (PONG DAM),HIMACHAL PRADESH,21.1,21.1,8.7,8.7,8,8,214,214,-,-,0.5,0.5,2,2,2,2,-,-,,,,,,
30084,"BEAS AT  D/S CHANGARWA VILLAGE, (PUNJAB)",PUNJAB,26,26,8.9,8.9,8,8,215,215,-,-,0.5,0.5,2000,2000,13000,13000,-,-,,,,,,
1693,"BEAS AT TALWARA H/W,
PUNJAB",PUNJAB,15,25,6.3,9.2,7.3,7.9,158,260,1,1.1,0.1,0.4,31,46,70,94,-,-,,,,,,
1694,"BEAS AT U/S PATHANKOT, PUNJAB",PUNJAB,15,28,7.5,8.8,7.6,8.1,224,280,1,1.4,0.1,0.6,33,140,79,280,-,-,,,,,,
1010,"BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,15,28,7.3,9.1,7.4,8,240,280,1,1.4,0.1,0.4,26,110,70,170,-,-,,,,,,
1695,"BEAS D/S PATHANKOT, PUNJAB",PUNJAB,15,27,7.3,8.6,7.7,8.3,210,300,1,1.7,0.3,0.8,94,490,170,790,-,-,,,,,,
1294,"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN ,
PUNJAB",PUNJAB,15,26,6.8,8.4,7.5,8,231,320,1.1,2,0.4,1,210,540,430,920,-,-,,,,,,
4164,"BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA, GURDASPUR",PUNJAB,12,28,7.1,8.7,7.2,7.9,210,380,1,1.7,0.1,1.2,110,490,170,700,-,-,,,,,,
1011,BEAS AT G.T.  ROAD UNDER BDG. NEAR KAPURTHALA,PUNJAB,14,27,7.2,9.4,7.5,8,202,310,1,1.6,0.1,1,84,630,170,940,-,-,,,,,,
1012,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,12,28,7,8.6,7.5,8.1,199,310,1,1.6,0.4,1.2,110,330,210,630,-,-,,,,,,
1696,"BEAS U/S GOINDWAL, PUNJAB",PUNJAB,12,27,7.1,9.5,7.4,8,208,298,1,1.4,0.1,0.8,94,250,170,580,-,-,,,,,,
1697,"BEAS AT HARIKE, PUNJAB",PUNJAB,13,33,7.4,8.9,7.2,8.2,204,318,1,1.4,0.4,1,110,350,210,540,-,-,,,,,,
1867,"SUTLEJ RIVER B/C WITH RIVER SPITI AT KHAB,
DISTT.KINNAUR",HIMACHAL PRADESH,6,11,9,9.8,7.1,8.5,93,2574,0.2,1.7,0.2,2.2,1,17,7,170,-,-,,,,,,
2611,SUTLEJ AT KHAB,HIMACHAL PRADESH,6,11,8.9,9.8,7.3,8.5,94,2763,0.3,1.2,0.2,2.2,1,33,47,1600,-,-,,,,,,
3872,SUTLEJ RIVER D/S TIDONG HEP,HIMACHAL PRADESH,7,12,8.5,9.4,6.8,8.5,113,2705,0.4,2.7,0.2,2.4,8,23,70,1600,-,-,,,,,,
4448,RIVER SUTLEJ U/S CONFLUENCES OF RIVER TIDONG,HIMACHAL PRADESH,8.1,12,8.6,9.2,7.3,8.4,91,2793,0.3,0.9,0.2,1.2,6,26,94,150,-,-,,,,,,
4449,"RIVER SUTLEJ D/S CONFLUENCES OF RIVER
TIDONG",HIMACHAL PRADESH,8.2,12,8.5,9,6.9,8.5,93,2814,0.4,0.8,0.2,1.3,6,26,94,220,-,-,,,,,,
4452,"RIVER SUTLEJ U/S CONFLUENCES OF RIVER
BASPA",HIMACHAL PRADESH,9,9,8.5,8.5,8.1,8.1,2630,2630,0.4,0.4,1.3,1.3,14,14,94,94,-,-,,,,,,
